iter	Passed	Remaining
241	5048	36671
242	5067	36638
243	5086	36606
244	5106	36577
245	5124	36541
246	5144	36513
247	5164	36481
248	5185	36463
249	5204	36434
250	5223	36400
251	5243	36369
252	5276	36438
253	5296	36410
254	5317	36389
255	5338	36370
256	5359	36347
257	5378	36318
258	5399	36295
259	5418	36262
260	5437	36228
261	5457	36200
262	5476	36169
263	5495	36137
264	5514	36106
265	5534	36076
266	5553	36044
267	5573	36017
268	5599	36030
269	5623	36034
270	5642	36001
271	5661	35970
272	5682	35946
273	5700	35911
274	5719	35878
275	5738	35847
276	5757	35815
277	5777	35786
278	5796	35753
279	5814	35720
280	5834	35691
281	5853	35658
282	5872	35631
283	5892	35601
284	5912	35575
285	5931	35546
286	5954	35542
287	5974	35517
288	5996	35499
289	6016	35476
290	6036	35451
291	6055	35419
292	6076	35399
293	6095	35371
294	6115	35342
295	6134	35312
296	6153	35282
297	6173	35258
298	6194	35241
299	6215	35221
300	6234	35191
301	6253	35161
302	6273	35133
303	6292	35107
304	6312	35082
305	6332	35057
306	6352	35029
307	6370	34997
308	6391	34976
309	6410	34947
310	6429	34919
311	6448	34889
312	6467	34860
313	6487	34835
314	6507	34808
315	6530	34801
316	6549	34774
317	6569	34745
318	6588	34718
319	6608	34695
320	6627	34667
321	6647	34639
322	6666	34610
323	6685	34581
324	6704	34554
325	6724	34527
326	6743	34499
327	6761	34468
328	6781	34443
329	6800	34416
330	6820	34391
331	6840	34369
332	6860	34344
333	6879	34316
334	6899	34290
335	6918	34265
336	6938	34239
337	6961	34230
338	6980	34203
339	7001	34182
340	7021	34160
341	7040	34133
342	7060	34109
343	7079	34079
344	7098	34050
345	7118	34028
346	7137	34001
347	7157	33978
348	7177	33953
349	7197	33929
350	7216	33902
351	7236	33881
352	7256	33856
353	7275	33830
354	7295	33805
355	7314	33779
356	7334	33755
357	7354	33732
358	7373	33703
359	7392	33679
360	7412	33654
361	7432	33632
362	7452	33606
363	7471	33580
364	7490	33552
365	7509	33526
366	7529	33501
367	7548	33476
368	7568	33452
369	7588	33432
370	7608	33408
371	7627	33380
372	7646	33353
373	7665	33327
374	7684	33301
375	7704	33275
376	7724	33252
377	7743	33227
378	7763	33205
379	7784	33185
380	7804	33164
381	7823	33139
382	7843	33116
383	7863	33093
384	7887	33084
385	7906	33059
386	7925	33032
387	7945	33010
388	7964	32986
389	7985	32964
390	8004	32940
391	8026	32925
392	8046	32901
393	8065	32877
394	8084	32851
395	8103	32824
396	8123	32802
397	8142	32774
398	8161	32747
399	8180	32723
400	8200	32698
401	8219	32675
402	8240	32654
